description,title,url,price,spider,image_urls,server,project,images,location,address,date
"
Fantastic opportunity to purchase a 4/5 bedroom property in the costal village of Ardersier. Consug Brae was built in 1994 on an enviable site enjoying large garden grounds and also boasting fabulous views over the Moray Firth and hills beyond. Offering well proportioned accommodation and in truly walk-in condition this property will appeal to an array of buyers including those looking for a property with 'Guest House' potential. Accommodation: Entrance hallway, lounge, dining kitchen, family room, utility room, cloakroom/laundry room, dining room/bedroom 5, ground floor WC, 4 further bedrooms on the 1st floor - 2 of which have en-suites, study and family bathroom. Double integral garage and large garden grounds. Oil fired central heating and double glazing. Location: Ardersier is centrally located between Nairn and Inverness with Fort George being approximately 3 miles as is Castle Stewart Golf Course and Dalcross Airport which offers national and international flights on a daily basis. The village offers a good range of amenities including a convenience store, post office, hotel, pub and primary school, with secondary pupils attending either Culloden Academy or Nairn Academy. A regular bus service to Inverness is in operation.,NOTE,Full details and pictures can be found on purple bricks website
",4/5 bedroom house for sale in Ardersier ,,"£310,000.00",,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/IxYAAOSwWv5aQ2UC/$_86.JPG,,,,,"Inverness, Highland",
description,title,url,price,spider,image_urls,server,project,images,location,address,date
"Fantastic opportunity to purchase a 4/5 bedroom property in the costal village of Ardersier. Consug Brae was built in 1994 on an enviable site enjoying large garden grounds and also boasting fabulous views over the Moray Firth and hills beyond. Offering well proportioned accommodation and in truly walk-in condition this property will appeal to an array of buyers including those looking for a property with 'Guest House' potential. Accommodation: Entrance hallway, lounge, dining kitchen, family room, utility room, cloakroom/laundry room, dining room/bedroom 5, ground floor WC, 4 further bedrooms on the 1st floor - 2 of which have en-suites, study and family bathroom. Double integral garage and large garden grounds. Oil fired central heating and double glazing. Location: Ardersier is centrally located between Nairn and Inverness with Fort George being approximately 3 miles as is Castle Stewart Golf Course and Dalcross Airport which offers national and international flights on a daily basis. The village offers a good range of amenities including a convenience store, post office, hotel, pub and primary school, with secondary pupils attending either Culloden Academy or Nairn Academy. A regular bus service to Inverness is in operation. NOTE Full details and pictures can be found on purple bricks website",4/5 Bedroom House For Sale In Ardersier,https://www.gumtree.com/p/property-for-sale/4-5-bedroom-house-for-sale-in-ardersier-/1280668353,[310000.0],basic,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/IxYAAOSwWv5aQ2UC/$_86.JPG,umair-ThinkPad-T420,properties,,,"Inverness, Highland","[datetime.datetime(2017, 12, 27, 22, 48, 27, 267448)]"
description,title,url,price,spider,image_urls,server,project,images,location,address,date
,,https://www.gumtree.com/flats-houses,,manual,https://www.gumtree.com/static/1/resources/assets/rwd/images/orphans/a37b37d99e7cef805f354d47.noimage_thumbnail.png,umair-ThinkPad-T420,properties,,,,"[datetime.datetime(2017, 12, 28, 17, 20, 17, 531172)]"
Century 24 properties ltd. is delighted to offer this 4 bedroom house with 2 bathroom and private garden close to Leyton Underground Station.  PROPERTY FEATURES: • FOUR BEDROOMS . TWO TOILETS / ONE BATHROOM • KITCHEN / DINER • GROUND FLOOR CLOAKROOM • LOUNGE • FAMILY BATHROOM • AMPLE STORAGE • OWN REAR GARDEN • GAS CENTRAL HEATING • DOUBLE GLAZING  * AGENCY FEES APPLIED 02089881687 07517447566,4 Bedroom House To Rent Close To Leyton Underground Station,https://www.gumtree.com/p/property-to-rent/4-bedroom-house-to-rent-close-to-leyton-underground-station-/1274408056,[1900.0],manual,https://i.ebayimg.com/00/s/NDM3WDU4Mw==/z/fx0AAOSwRbtaAd8U/$_86.JPG,umair-ThinkPad-T420,properties,,,"Leyton, London","[datetime.datetime(2017, 12, 28, 17, 20, 17, 978666)]"
Century 24 is pleased to offer a double en-suite room located in walking distance from Leyton station- Goodall Road. The room is located in clean and tidy 3 bed house in an excellent location. It is perfect for a working professional or a couple. The rent is £650 with all bills included.  For more information or to arrange an appointment please call the office. O: 02089 881 687 M: 07517 447 566,"Lovely En-Suite Room, Goodall Road In Leyton For £775 Pcm",https://www.gumtree.com/p/property-to-rent/lovely-en-suite-room-goodall-road-in-leyton-for-%C2%A3775-pcm/1121435546,[775.0],manual,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/vIEAAOSw~gRVyfS0/$_86.JPG,umair-ThinkPad-T420,properties,,,Leyton,"[datetime.datetime(2017, 12, 28, 17, 20, 18, 182105)]"
"Century 24 Ltd is pleased to offer this 2 Bed Flat in Stratford. The property is located on 1st floor, in excellent location in walking distance from shopy center. The property comprises: 1 double en-suite room and separate reception, can be used as a room, good size fitted kitchen and 2 bathroom.  The property is available now for working professionals. The asking price is £1300 pcm  For more information or to arrange an appointment please call the office. T: 02089 881 687 M: 07517 447 566",Amazing 2 Bedroom Flat In Stratford For £1600Pcm,https://www.gumtree.com/p/property-to-rent/amazing-2-bedroom-flat-in-stratford-for-%C2%A31600pcm/1121425589,[1300.0],manual,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/cDsAAOSwyQtVgtpr/$_86.JPG,umair-ThinkPad-T420,properties,,,"Stratford, London","[datetime.datetime(2017, 12, 28, 17, 20, 18, 210798)]"
"Large En Suite Double Room on 1st Floor fully furnished attached fitted toilet and shower just kitchen shared with other tenents located on Dunedin Road just 5 mins walk from Leyton underground station 24 hour buses towards Stratford and Central London asking price is £650.00 pcm including all bills please call us for more information or arrange appointment  Century 24 properties , 020 8988 1687 , 07517447566:",Tidy En-Suite Room In Leyton For £775.00 Pcm,https://www.gumtree.com/p/property-to-rent/tidy-en-suite-room-in-leyton-for-%C2%A3775.00-pcm/1124511563,[775.0],manual,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/HJwAAOSwDNdVn9EC/$_86.JPG,umair-ThinkPad-T420,properties,,,Leyton,"[datetime.datetime(2017, 12, 28, 17, 20, 18, 234053)]"
"Nice semi-detached 3 bedroom house. Entrance: Obscured double glazed PVC door to porch with obscured single glazed hardwood door to hall.  Hall: Radiator, dado.  Reception One: 25'4&quot; (7.72m) x 10'7&quot; (3.23m) Double glazed bay window to front aspect, double glazed window to rear aspect, two feature fire places with gas fires, two radiators, power points, aerial points, telephone points, routed for sky, dado rail, coving, under stair storage.  Kitchen: 14'3&quot; (4.34m) x 8'5&quot; (2.57m) Double glazed French doors to rear aspect, range of wall and base units, plumbing and space for range oven, washing machine, dish washer and tumble dryer, stainless steel basin with stainless steel mixer taps, stainless steel extractor hood, space for fridge freezer, radiator, tiled walls and floors, power points, door to bathroom.   Ground Floor Bathroom: Obscured double glazed window to rear aspect, low level WC, pedestal wash hand basin, corner bath with mixer tap and shower attachment, heated towel rail, tiled walls and floor.  First Floor Landing: Power powers, stairs to loft room/ bedroom four, dado rail, coving, doors to.  First Floor Shower Landing: Low level WC, corner vanity wash hand basin, shower cubical with power shower, chrome heated towel rail, tiled walls, wall mounted extractor.  Bedroom One: 13'3&quot; (4.04m) x 11'8&quot; (3.56m) Double glazed window to front aspect, fitted wardrobes and drains radiator, power points.  Bedroom Two: 12'4&quot; (3.76m) x 8' (2.44m) Double glazed window to rear aspect, original feature, cast iron fire place, radiator, power points, dado rail, coving.  Bedroom Three: 8'8&quot; (2.64m) x 8'5&quot; (2.57m) Double glazed window to rear aspect, radiator, power points, coving.   Bedroom Four/Loft Room: 12'7&quot; (3.84m) x 9'8&quot; (2.95m) Double glazed velux window to rear aspect, radiator, power points, dado rail.  Exterior: Approx 50' (15.24m) rear garden, decked areas, patio area, side access, outside tap, wooden shed to remain, outside power points. ",Nice 3 Bedroom House With Cosy Garden In Enfield,https://www.gumtree.com/p/property-to-rent/nice-3-bedroom-house-with-cosy-garden-in-enfield/1272260300,[1600.0],manual,https://i.ebayimg.com/00/s/NDY1WDY2MA==/z/EJwAAOSwWZpZ7yAm/$_86.JPG,umair-ThinkPad-T420,properties,,,"Walthamstow, London","[datetime.datetime(2017, 12, 28, 17, 20, 18, 255012)]"
